Category,Description,price_per_100g
CEREALS,"CEREALS,ROMAN MEAL,PLN,DRY",2.42
CEREALS,"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,WO/ SALT",4.79
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",2.19
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CINN GRAHAMS",2.71
CEREALS RTE,"CEREALS RTE,CHOC FLAV RINGS,PRESWEETENED,SINGLE BRAND",3.29
CEREALS,"CEREALS,WHEATENA,DRY",0.6
CEREALS,"CEREALS,WHEATENA,CKD W/ H2O",0.33
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,DRY",3.82
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",0.96
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",2.54
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",0.58
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR&SALT FREE,SPOON SIZE",3.17
CEREALS,"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,WO/ SALT",1.78
CEREALS RTE,"CEREALS RTE,RICE,PUFFED,FORT",0.95
CEREALS RTE,"CEREALS RTE,WHEAT,PUFFED,FORT",1.54
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",2.34
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",3.99
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",2.93
CEREALS,"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",4.16
CEREALS,"CEREALS,CORN GRITS,WHITE,REG & QCK,UNENR,CKD W/ H2O,WO/ SALT",2.87
CEREALS,"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",1.99
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",3.57
CEREALS,"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",4.28
CEREALS,"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",2.61
CEREALS,"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",2.14
CEREALS,"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",2.47
CEREALS,"CEREALS,CRM OF WHEAT,REG,CKD W/ H2O,W/ SALT,(WHEAT)",0.4
CEREALS,"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,W/ SALT",4.76
CEREALS,"CEREALS,CRM OF WHEAT,INST,PREP W/ H2O,W/ SALT,(WHEAT)",1.0
CEREALS,"CEREALS,FARINA,UNENR,DRY",0.71
CEREALS,"CEREALS,FARINA,ENR,CKD W/ H2O,W/ SALT",3.24
CEREALS,"CEREALS,MALTEX,CKD W/ H2O,W/ SALT",3.16
CEREALS,"CEREALS,MALT-O-MEAL,CHOC,DRY",1.69
CEREALS,"CEREALS,MAYPO,CKD W/ H2O,W/ SALT",1.42
CEREALS,"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",0.74
CEREALS,"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,W/ SALT",4.6
CEREALS,"CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",2.99
CEREALS,"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",3.28
CEREALS,"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,W/ SALT",3.07
CEREALS,"CEREALS,RALSTON,CKD W/ H2O,W/ SALT",3.87
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",3.13
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,APPL CINN",1.51
CEREALS RTE,"CEREALS RTE,WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",2.58
CEREALS RTE,"CEREALS RTE,CORN,RICE,WHEAT,OAT,PRESWEETENED,W/FRUIT&ALMONDS",2.87
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",3.24
CEREALS RTE,"CEREALS RTE,HEALTHY CHOIC,KELLOGG'S ALMOND CRUNCH W/RAISINS",1.76
CEREALS,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",2.29
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP W/ ALMONDS",2.52
CEREALS RTE,"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN",1.67
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",4.56
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OAT CINN LIFE",0.7
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",2.16
CEREALS RTE,"CEREALS RTE,QUAKER,SUN COUNTRY GRANOLA W/ ALMONDS",3.93
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OATMEAL SQUARES",4.89
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER CINN OATMEAL SQUARES",1.73
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER OAT BRAN CRL",1.1
CEREALS READY TO EAT,"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND A",2.86
CEREALS RTE,"CEREALS RTE,QUAKER,100% NAT CRL W/ OATS,HONEY,& RAISINS",1.81
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",2.98
CEREALS RTE,"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",1.94
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,DRY",3.8
CEREALS READY TO EAT,"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND B",4.35
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRUIT & CRM VAR,DRY",4.84
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRT& CRM VAR,PREP W/ BOILING H2O",4.32
CEREALS,"CEREALS,QUAKER,INST OATMEAL,RAISINS,DATES & WALNUTS,DRY",3.07
CEREALS,"CEREALS,QUAKER,INST OATMEAL,LO NA,DRY",4.23
CEREALS,"CEREALS,QUAKER,FARINA,CREAMY WHEAT,ENR,DRY",3.69
CEREALS,"CEREALS,QUAKER,OAT BRAN,QUAKER/MOTHER'S OAT BRAN,DRY",1.76
CEREALS,"CEREALS,QUAKER,SCOTCH BARLEY,REG&QUICK,DRY",3.74
CEREALS,"CEREALS,QUAKER,OATMEAL,INST,LO NA,PREP W/H2O",4.75
CEREALS,"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,PREP W/H2O",2.77
CEREALS,"CEREALS,QKR,OAT BRAN,PREP W/H2O,NO SALT",1.33
CEREALS,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,NO SALT",1.77
CEREALS,"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,PREP W/H2O",4.88
CEREALS RTE,"CEREALS RTE,GEN MILLS,BERRY BURST CHEERIOS,ALL FLAVORS",4.59
CEREALS,"CEREALS,OAT BRAN,QKR,QKR/MOTHER'S OAT BRAN,PREP W/H2O,SALT",3.22
CEREALS,"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,SALT",2.18
CEREALS RTE,"CEREALS RTE,JUST RIGHT W/ CRUNCHY NUGGETS",0.59
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",3.38
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FIBER ONE",3.72
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,RAISIN",2.79
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",4.6
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",3.03
CEREALS,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,NO SALT",2.03
CEREALS,"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,SALT",4.39
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN W/ EX FIBER",1.82
CEREALS RTE,"CEREALS RTE,APPL CINN SQUARES MINI-WHEATS",3.62
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S COMPLETE OAT BRAN FLAKES",0.87
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",4.34
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,RAISIN NUT BRAN",3.26
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BASIC 4",3.16
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",1.35
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",3.17
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRANKENBERRY",3.17
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COUNTRY CORN FLAKES",1.8
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",2.05
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,COCOA PUFFS",3.46
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",3.65
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BOO BERRY",4.55
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",4.5
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",1.15
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,KABOOM",3.37
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S JUST RIGHT FRUIT & NUT",2.37
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS",4.74
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S MUESLIX",3.98
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN MINI-WHEATS",1.86
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",0.32
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S STRAWBERRY MINI-WHEATS",3.24
CEREALS RTE,"CEREALS RTE,HEALTH VALLEY,FIBER 7 FLAKES",3.45
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER APPL ZAPS",3.94
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER COCOA BLASTS",2.93
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER FRUITANGY OH!S",4.83
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER MARSHMLLW SAFARI",3.63
CEREALS RTE,"CEREALS RTE,QUAKER,QUAKER SWT PUFFS",3.78
CEREALS RTE,"CEREALS RTE,OAT,CORN&WHEAT SQUARES,PRESWEETENED,MAPLE FLAV",0.93
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S HONEY CRUNCH CORN FLAKES",2.68
CEREALS,"CEREALS,QUAKER,HOMINY GRITS,WHITE,QUICK,DRY",2.3
CEREALS,"CEREALS,QUAKER,HOMINY GRITS,YEL,QUICK,DRY",3.93
CEREALS,"CEREALS,QUAKER,HOMINY GRITS,WHITE,REG,DRY",1.01
CEREALS,"CEREALS,QUAKER,FARINA,ENR CINN FLAVOR,DRY",3.99
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANT CRL",2.81
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD MINI-WHEATS,BITE SIZE",2.33
CEREALS RTE,"CEREALS RTE,KRAFT,POST BANANA NUT CRUNCH CRL",1.07
CEREALS RTE,"CEREALS RTE,KRAFT,POST BLUEBERRY MORNING CRL",3.28
CEREALS RTE,"CEREALS RTE,KRAFT,POST BRAN FLAKES",2.97
CEREALS RTE,"CEREALS RTE,KRAFT,POST COCOA PEBBLES CRL",2.81
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRUITY PEBBLES CRL",4.31
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRSTD ALPHA-BITS CRL",1.53
CEREALS RTE,"CEREALS RTE,KRAFT,POST MARSHMLLW ALPHA-BITS CRL",2.57
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRUIT&FIBRE DATES,RAISINS&WALNUTS CRL",3.88
CEREALS RTE,"CEREALS RTE,KRAFT,POST GOLDEN CRISP CRL",4.52
CEREALS RTE,"CEREALS RTE,KRAFT,POST GRAPE-NUTS FLAKES",3.11
CEREALS RTE,"CEREALS RTE,KRAFT,POST GREAT GRAINS CRUNCHY PECAN CRL",0.75
CEREALS RTE,"CEREALS RTE,KRAFT,POST GREAT GRAINS RAISIN,DATE&PECAN CRL",1.56
CEREALS RTE,"CEREALS RTE,KRAFT,POST HONEY BUNCHES OF OATS W/ALMONDS CRL",2.57
CEREALS RTE,"CEREALS RTE,KRAFT,POST HONEYCOMB CRL",0.51
CEREALS RTE,"CEREALS RTE,KRAFT,POST OREO O'S CRL",0.57
CEREALS RTE,"CEREALS RTE,KRAFT,POST TOASTIES CORN FLAKES",2.16
CEREALS RTE,"CEREALS RTE,KRAFT,POST FRSTD SHREDDED WHEAT BITE SIZE CRL",3.44
CEREALS RTE,"CEREALS RTE,KRAFT,POST THE ORIGINAL SHREDDED WHEAT 'N BRAN",1.89
CEREALS RTE,"CEREALS RTE,KRAFT,POST THE ORIGIN SHREDDED WHEAT SPOON SIZE",1.87
CEREALS RTE,"CEREALS RTE,KRAFT,POST 100% BRAN CRL",3.5
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,MULTI-BRAN CHEX",4.46
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COLOSSAL CRUNCH",4.0
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,BERRY COLOSSAL CRUNCH",4.37
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CRISPY RICE",2.79
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",3.42
CEREALS,"CEREALS,RTE,MALT-O-MEAL,TOASTY O'S",1.25
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S PNUT BUTTER BUMPERS CRL",4.23
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S TSTD OAT BRAN CRL,BROWN SUGAR",4.35
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S CINN OAT CRUNCH",3.71
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S GROOVY GRAHAMS",2.77
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S COCOA BUMPERS",3.21
CEREALS RTE,"CEREALS RTE,QUAKER,FRUITY BRONTOSAURUS BLASTS,BAGGED CRL",2.94
CEREALS RTE,"CEREALS RTE,QUAKER,CRISPY CORN PUFFS CRL",4.06
CEREALS RTE,"CEREALS RTE,QUAKER,FRSTD OATS",2.51
CEREALS RTE,"CEREALS RTE,QUAKER,OATMEAL CRL,BROWN SUGAR BLISS",1.38
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY GRAHAM BAGGED CRL",3.81
CEREALS RTE,"CEREALS RTE,QUAKER,TSTD OATS/OATMMM'S",4.82
CEREALS RTE,"CEREALS RTE,QUAKER,KRETSCHMER TSTD WHEAT BRAN",1.19
CEREALS RTE,"CEREALS RTE,QUAKER,CINN CRUNCH BAGGED CRL",4.27
CEREALS RTE,"CEREALS RTE,QUAKER,KRETSCHMER WHEAT GERM,REG",1.01
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,PARA SU FAMILIA RAISIN BRAN",1.9
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S,CRISPIX CINN CRUNCH",0.88
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CRUNCHEROOS",1.38
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS",3.99
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S PUFFED WHEAT",0.63
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S,RAISIN BRAN CRUNCH",0.77
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES",1.18
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S SHREDDED WHEAT MINIATURES",2.6
CEREALS RTE,"CEREALS RTE,KASHI GOLEAN CRUNCH! BY KELLOGG",0.68
CEREALS RTE,"CEREALS RTE,KASHI HEART TO HEART,HONEY TSTD OAT",3.25
CEREALS RTE,"CEREALS RTE,PUFFED KASHI BY KELLOGG",0.75
CEREALS RTE,"CEREALS RTE,KASHI 7 WHL GRAIN HONEY PUFFS",2.23
CEREALS RTE,"CEREALS RTE,KASHI GOOD FRIENDS BY KELLOGG",4.5
CEREALS RTE,"CEREALS RTE,KASHI GOLEAN BY KELLOGG",1.17
CEREALS RTE,"CEREALS RTE,QUAKER,MOTHER'S HONEY ROUNDUP",4.19
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY NUT OATS",0.76
CEREALS RTE,"CEREALS RTE,QUAKER,HONEY CRISP CORN FLAKES",1.29
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,HARMONY",1.96
CEREALS RTE,"CEREALS RTE,QUAKER,CRANBERRY MACADAMIA NUT CRL",3.19
CEREALS RTE,"CEREALS RTE,QUAKER,FRUITY OCEAN ADVENTURE BAGGED CRL",1.16
CEREALS,"CEREALS,QUAKER,QUICK OATS,DRY",4.23
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,APPL CINN TOASTY O'S",1.01
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES",1.57
CEREALS,"CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY",9.63
CERLS,"CERLS,QUKR,INST OTML,DNSR EGS W/ ""DNSR BNS"",BRN SGR CINN,DRY",2.49
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA FLAVOR,DRY",2.15
CEREALS,"CEREALS,QUAKER,INST OATMEAL,BKD APPL,DRY",1.81
CEREALS,"CEREALS,QUAKER,INST OATMEAL EXPRESS,GOLDEN BROWN SUGAR,DRY",4.77
CEREALS,"CEREALS,QUAKER,INST OATMEAL,TREASURE HUNT,DRY",3.44
CEREALS,"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,DRY",1.55
CEREALS,"CEREALS,QUAKER,INST OATMEAL,BANANA BREAD,DRY",3.13
CEREALS,"CEREALS,QUAKER,INST OATMEAL EXPRESS,BKD APPL,DRY",1.03
CEREALS,"CEREALS,QUAKER,INST OATMEAL EXPRESS CINN ROLL,DRY",3.68
CEREALS,"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,VANILLA CINN,DRY",2.67
CEREALS,"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,GLDN BRWN SGR,DRY",3.88
CEREALS,"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,APPL SPICE,DRY",3.98
CEREALS,"CEREALS,QUAKER,INST OATMEAL,CINN SPICE,PREP W/ BOILING H2O",9.02
CLS,"CLS,QKR,INSTOAT,DIN EGSW/ DINBNS,BRNSGRCINN,PRP W/ BOIL H2O",3.75
CEREALS,"CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA,PREP W/ BOIL H2O",3.5
CEREALS,"CEREALS,QUAKER,INST OATMEAL,BKD APPL,PREP W/ BOILING H2O",4.31
CEREALS,"CEREALS,QUAKR,INST OATMEAL,TREASURE HUNT,PREP W/ BOILING H2O",2.15
CEREALS,"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,PREP W/ BOILING H2O",3.06
CEREALS,"CEREALS,QUAKR,INST OATMEAL,EXPR BKD APPL,PREP W/ BOILING H2O",1.7
CEREALS,"CEREALS,QUAKER,INST OATMEAL, CINN ROLL,PREP W/ BOILING H2O",3.79
CRLS,"CRLS,QUAKR INST OTML,NUTR FOR WMN,VNLA CINN,PREP W/ BOIL H2O",2.35
CEREALS,"CEREALS,QKR,INST OATMEAL,FOR WOMEN,BRSUGR,PREP W/H2O",2.62
CERLS,"CERLS,QUKR,INST OATML,NUTR FOR WMN,APL SPCE,PREP W/ BOIL H2O",1.49
CERLS,"CERLS,QUKR,INST OATML,EXPR,GLDN BRN SUGR,PREP W/ BOIL H2O",4.77
CEREALS RTE,"CEREALS RTE,UNCLE SAM CRL",3.78
CEREALS,"CEREALS,QUAKER,INST OATMEAL,RAISIN & SPICE,DRY",2.8
CEREALS,"CEREALS,QUAKER,INST OATMEAL,RAISIN & SPICE,PREP",3.18
CERLS,"CERLS,QUAKER,INST GRIT PRDCT W/ RDEYE GRVY&IMITN HAM BIT,DRY",4.47
CEREALS,"CEREALS,QUAKER,MOTHER'S INST OATMEAL (NON-FORTIFIED),DRY",1.37
CERLS,"CERLS,QUKR,INST GRIT PRDCT W/ IMITN BACN BIT&CHDR FLVR,DRY",2.17
CEREALS,"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY",4.85
CEREALS,"CEREALS,QUAKER,INST GRITS PRODUCT--HAM 'N' CHS",2.86
CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST APPL CINN",0.81
CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST PEACH/STRAWBERRY",2.57
CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST STRAWBERRY/BLUEBERRY",4.14
CEREALS RTE,"CEREALS RTE,KELLG'S,FRSTD MINI-WHTS,MPLE & BRWN SGR,BTE SZE",1.08
CEREALS RTE,"CEREALS RTE,KELLOGG'S,TONY'S CINN KRUNCHERS",4.66
CEREALS RTE,"CEREALS RTE,KASHI,CINNA-RAISIN CRUNCH BY KELLOGG",3.82
CEREALS RTE,"CEREALS RTE,KASHI,ORGANIC PROMISE AUTUMN WHEAT",1.65
CEREALS RTE,"CEREALS RTE,KASHI ORGANIC PROMISE STRAWBERRY FIELDS",3.71
CEREALS RTE,"CEREALS RTE,KASHI,SEVEN IN THE MORNING BY KELLOGG",4.53
CEREALS RTE,"CEREALS RTE,KELLOGG,SCOOBY-DOO! BERRY BONES",0.67
CEREALS RTE,"CEREALS RTE,KASHI ORGANIC PROMISE CRANBERRY SUNSHINE",1.42
CEREALS RTE,"CEREALS RTE,KELLOGG'S,RED SUGAR FROOT LOOPS",3.69
CEREALS RTE,"CEREALS RTE,KELLOGG'S,RED SUGAR FRSTD FLAKES CRL",4.39
CEREALS RTE,"CEREALS RTE,KELLOGG'S,FRUIT HARVEST BANANA BERRY",1.75
CEREALS RTE,"CEREALS RTE,KELLOGG'S,SPL K LO CARB LIFESTYLE PROT PLUS",4.9
CEREALS RTE,"CEREALS RTE,KELLOGG'S,CORN FLAKES W/ REAL BANANAS",4.59
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS",0.68
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS",1.99
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL HONEY GRAHAM CRL",2.92
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,PUFFED WHEAT CRL",3.01
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,RAISIN BRAN CRL",2.84
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,BLUEBERRY MUFFIN TOPS CRL",3.77
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,FARINA HOT WHEAT CRL,DRY",1.03
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,MAPLE & BRWN SGR HOT WHT CRL,DRY",3.5
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,HI FIBER BRAN FLAKES",4.81
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,HONEY NUT TOASTY O'S CRL",1.34
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,PUFFED RICE CRL",2.96
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,APPL ZINGS",0.78
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CINN TOASTERS",2.67
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,COCOA DYNO-BITES",2.34
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,CORN FLAKES",2.61
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,FRSTD WHL WHEAT CRL",0.65
CEREALS RTE,"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",2.88
CEREALS RTE,"CEREALS RTE,NATURE'S PATH,OPTIMUM",3.41
CEREALS RTE,"CEREALS RTE,NATURE'S PATH,OPTIMUM SLIM",1.53
CEREALS RTE,"CEREALS RTE,RALSTON ENR BRAN FLAKES",1.69
CEREALS RTE,"CEREALS RTE,RALSTON CORN BISCUITS",4.51
CEREALS RTE,"CEREALS RTE,RALSTON CORN FLAKES",4.6
CEREALS RTE,"CEREALS RTE,RALSTON CRISPY HEXAGONS",2.84
CEREALS RTE,"CEREALS RTE,USDA CMDTY CORN & RICE (INCLUDES ALL  BRANDS)",0.31
CEREALS RTE,"CEREALS RTE,USDA CMDTY RICE CRISPS (INCLUDES ALL  BRANDS)",1.88
No Category,MILK & CRL BAR,3.34
CEREALS,"CEREALS,MALT-O-MEAL,PLN,PREP W/ H2O,WO/ SALT",2.94
CEREALS,"CEREALS,MALT-O-MEAL,CHOC,PREP W/ H2O,WO/ SALT",1.86
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,CHOC LUCKY CHARMS",0.82
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,FRSTD CHEX",0.89
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,TRIPLE BERRY",3.06
CEREALS RTE,"CEREALS RTE,GENERAL MILLS,PNUT BUTTER COOKIE CRISP",1.17
CEREALS RTE,"CEREALS RTE,GENERAL MILLS MILLS PNUT BUTTER TOAST CRUNCH",1.05
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN YOGURT BITES",0.59
CEREALS RTE,"CEREALS RTE,KELLOGG,BERRY RICE KRISPIES",0.8
CEREALS RTE,"CEREALS RTE,KELLOGG,KELLOGG'S CINN MINI SWIRLZ",3.46
CEREALS RTE,"CEREALS RTE,KELLOGG,CRAN-VANILLA CRUNCH",2.82
CEREALS RTE,"CEREALS RTE,KELLOGG,EGGO CRUNCH CRL,MAPLE FLAV",4.33
CEREALS RTE,"CEREALS RTE,KELLOGG,FRSTD MINI-WHEATS BITE SIZE VANILLA",3.81
CEREALS RTE,"CEREALS RTE,KELLOGG,MARSHMLLW FROOT LOOPS,RAINBOW BREEZE",2.77
CEREALS RTE,"CEREALS RTE,KELLOGG,ROBOTS",3.57
CEREALS RTE,"CEREALS RTE,KELLOGG,SMART START HEALTHY HEART,ORIGINAL",4.54
CEREALS RTE,"CEREALS RTE,KELLOGG,SMART START HEALTHY HEART, BRN SUGAR",3.76
CEREALS RTE,"CEREALS RTE,KELLOGG,SMORZ",4.8
CEREALS RTE,"CEREALS RTE,KELLOGG,SPL K,FRUIT & YOGURT",0.94
CEREALS RTE,"CEREALS RTE,KELLOGG,SPONGEBOB SQUAREPANTS",3.48
CEREALS RTE,"CEREALS RTE,KELLOGG,STAR WARS",1.34
